row,string_id,speaker,source_speaker_key,category,attribution_confidence,attribution_basis,text,raw_text
13,5797928922845194,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Welcome to [C0]Greater Marrow[/C0]! I must say, quite the dramatic first impression - I see you've already introduced yourself to the [C2]jagged rocks[/C2] along the bay.","MAYOR_NAME_KEY: Welcome to [C0]Greater Marrow[/C0]! I must say, quite the dramatic first impression - I see you've already introduced yourself to the [C2]jagged rocks[/C2] along the bay."
14,5797928922845195,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Did you not see the lighthouse? It was shining right at you! Ah well, I'm glad to see our [C0]new fisherman[/C0] upright and breathing.","MAYOR_NAME_KEY: Did you not see the lighthouse? It was shining right at you! Ah well, I'm glad to see our [C0]new fisherman[/C0] upright and breathing."
15,5797928922845196,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"[C2]Your boat was hopelessly damaged[/C2], but I've had a few of the locals [C1]move your things to one of our old vessels[/C1]. We'll catch up later to discuss more details.","MAYOR_NAME_KEY: [C2]Your boat was hopelessly damaged[/C2], but I've had a few of the locals [C1]move your things to one of our old vessels[/C1]. We'll catch up later to discuss more details."
16,5797928922845197,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Finally, I don't suppose I need to say this, but [C2]get back by sundown, before the fog rolls in[/C2]. Keep a close eye on the time. It can really creep up on you.","MAYOR_NAME_KEY: Finally, I don't suppose I need to say this, but [C2]get back by sundown, before the fog rolls in[/C2]. Keep a close eye on the time. It can really creep up on you."
17,5797928922845198,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,No fish? [C0]Get out there and catch something[/C0] for these hungry townsfolk.,MAYOR_NAME_KEY: No fish? [C0]Get out there and catch something[/C0] for these hungry townsfolk.
18,5797928922845199,Narrator / scene text,,narration,inferred,third-/second-person scene description,You step onto the dock at Greater Marrow. The Mayor is waiting nearby.,You step onto the dock at Greater Marrow. The Mayor is waiting nearby.
19,5797928922845200,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Ah, I see you've returned in one piece. Very good. Before you head off to town, we should discuss the matter of [C0]your boat[/C0].","MAYOR_NAME_KEY: Ah, I see you've returned in one piece. Very good. Before you head off to town, we should discuss the matter of [C0]your boat[/C0]."
20,5797928922845202,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"I understand you may not have the necessary funds on hand, so we'll consider it a [C2]loan[/C2]. But I want to make this easy for you.","MAYOR_NAME_KEY: I understand you may not have the necessary funds on hand, so we'll consider it a [C2]loan[/C2]. But I want to make this easy for you."
21,5797928922845203,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"So, to recap, you'll need to sell fish to the local market, paying off your debt and, in turn, keeping the population fed and satisfied. Understand?","MAYOR_NAME_KEY: So, to recap, you'll need to sell fish to the local market, paying off your debt and, in turn, keeping the population fed and satisfied. Understand?"
22,5797928922845204,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,Selling fish helps the town and pays off my debt. Got it.,Selling fish helps the town and pays off my debt. Got it.
23,5797928922845205,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",Where do I sell the fish?,Where do I sell the fish?
24,5797928922845206,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,Our local [C0]Fishmonger[/C0] will appraise and purchase what you catch. He's open all hours.,MAYOR_NAME_KEY: Our local [C0]Fishmonger[/C0] will appraise and purchase what you catch. He's open all hours.
25,5797928922845207,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,Off you go then - sell those fish while they're still fresh!,MAYOR_NAME_KEY: Off you go then - sell those fish while they're still fresh!
26,5832393539784704,Narrator / scene text,,narration,inferred,third-/second-person scene description,The Mayor is standing outside the Fishmonger's store.,The Mayor is standing outside the Fishmonger's store.
27,5832393564950528,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Excellent work, I have no doubt you'll be able to provide for this town.","MAYOR_NAME_KEY: Excellent work, I have no doubt you'll be able to provide for this town."
28,5832393564950529,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Oh, one last thing! Our local [C0]Shipwright[/C0] mentioned she might be able to make some [C1]modifications to your ship[/C1]. You should pay her a visit.","MAYOR_NAME_KEY: Oh, one last thing! Our local [C0]Shipwright[/C0] mentioned she might be able to make some [C1]modifications to your ship[/C1]. You should pay her a visit."
29,5877743080247296,Narrator / scene text,,narration,inferred,third-/second-person scene description,"As you walk into the yard, you see the [C0]Shipwright[/C0] making repairs to a damaged hull. She looks up at you briefly before turning back to her work.","As you walk into the yard, you see the [C0]Shipwright[/C0] making repairs to a damaged hull. She looks up at you briefly before turning back to her work."
30,5877743084441600,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,You must be the new fisherman. [C1]I can make improvements to your vessel[/C1] in the yard.,SHIPWRIGHT_NAME_KEY: You must be the new fisherman. [C1]I can make improvements to your vessel[/C1] in the yard.
31,5877743084441601,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"Mind you, I'm not in the business of doing favors 'round here - payment is upfront. And [C2]everything takes some time to install[/C2].","SHIPWRIGHT_NAME_KEY: Mind you, I'm not in the business of doing favors 'round here - payment is upfront. And [C2]everything takes some time to install[/C2]."
32,5877743084441602,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"Also, if you take on any [C2]damage[/C2] from the rocks or...any damage at all, [C1]I can patch it up[/C1]. Mostly.","SHIPWRIGHT_NAME_KEY: Also, if you take on any [C2]damage[/C2] from the rocks or...any damage at all, [C1]I can patch it up[/C1]. Mostly."
33,5877743084441603,Narrator / scene text,,narration,inferred,third-/second-person scene description,She shrugs and gestures towards the hull she's currently attempting to repair. A number of wooden boards - all well above the water line - are splintered and scratched.,She shrugs and gestures towards the hull she's currently attempting to repair. A number of wooden boards - all well above the water line - are splintered and scratched.
34,5877743084441604,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"Take a look 'round. Just remember - [C2]the bigger the equipment, the longer it takes to install[/C2]. So plan ahead.","SHIPWRIGHT_NAME_KEY: Take a look 'round. Just remember - [C2]the bigger the equipment, the longer it takes to install[/C2]. So plan ahead."
35,6872154488508416,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Just the person I was hoping to see! Will you be sailing out [C0]East[/C0], towards [C0]Little Marrow[/C0]? Would you give this package to the [C0]Dockworker[/C0] there please?","MAYOR_NAME_KEY: Just the person I was hoping to see! Will you be sailing out [C0]East[/C0], towards [C0]Little Marrow[/C0]? Would you give this package to the [C0]Dockworker[/C0] there please?"
36,6872154509479936,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Oh, sorry, all full up? [C0]Come back when you have more space[/C0] on board.","MAYOR_NAME_KEY: Oh, sorry, all full up? [C0]Come back when you have more space[/C0] on board."
37,6872154509479937,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,Don't forget to check your [C0]Compass[/C0] and [C0]Map[/C0] if you get lost!,MAYOR_NAME_KEY: Don't forget to check your [C0]Compass[/C0] and [C0]Map[/C0] if you get lost!
38,6872154509479938,Narrator / scene text,,narration,inferred,third-/second-person scene description,"The Mayor hands you a small, damp package bound in string. It's dripping slightly.","The Mayor hands you a small, damp package bound in string. It's dripping slightly."
39,6892242369318912,Dockworker,DOCKWORKER_NAME_KEY,character speech,explicit,explicit speaker label,"Hmm, what - a delivery? Let's see here...","DOCKWORKER_NAME_KEY: Hmm, what - a delivery? Let's see here..."
40,6892242390290433,Dockworker,DOCKWORKER_NAME_KEY,character speech,explicit,explicit speaker label,"I was given this old book a few weeks back, but it didn't make much sense to me. You'll surely get more use out of it.","DOCKWORKER_NAME_KEY: I was given this old book a few weeks back, but it didn't make much sense to me. You'll surely get more use out of it."
41,6892242390290434,Dockworker,DOCKWORKER_NAME_KEY,character speech,explicit,explicit speaker label,"Keep it in your cabin, perhaps you can read it while you're on the water.","DOCKWORKER_NAME_KEY: Keep it in your cabin, perhaps you can read it while you're on the water."
42,7217358294814720,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,What is it today?,FISHMONGER_NAME_KEY: What is it today?
43,7217358294814721,Narrator / scene text,,narration,inferred,third-/second-person scene description,"You hand the [C3]grotesque fish[/C3] to the Fishmonger. He grins, raising the fish up to his face before inhaling a deep, stuttering breath.","You hand the [C3]grotesque fish[/C3] to the Fishmonger. He grins, raising the fish up to his face before inhaling a deep, stuttering breath."
44,7217358294814722,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"Ahh...now, this is the sort of specimen to liven up my day. Hmm, I wonder...","FISHMONGER_NAME_KEY: Ahh...now, this is the sort of specimen to liven up my day. Hmm, I wonder..."
45,7217358294814726,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"It's not the first corrupted fish I've seen in these parts, so I'm sure you'll find more before too long. [C1]I'll pay you well if you find any more[/C1].","FISHMONGER_NAME_KEY: It's not the first corrupted fish I've seen in these parts, so I'm sure you'll find more before too long. [C1]I'll pay you well if you find any more[/C1]."
46,7217358294814738,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,"So, will you allow me to fit your vessel with dredging equipment? I'll need a few hours.","COLLECTOR_NAME_KEY: So, will you allow me to fit your vessel with dredging equipment? I'll need a few hours."
47,7217358294814741,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,An excellent decision. I'll prepare the equipment immediately.,COLLECTOR_NAME_KEY: An excellent decision. I'll prepare the equipment immediately.
48,7217358294814742,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,I would encourage you to [C0]ask around the towns about shipwrecks or other strange occurrences[/C0] - anything that might be worth investigating.,COLLECTOR_NAME_KEY: I would encourage you to [C0]ask around the towns about shipwrecks or other strange occurrences[/C0] - anything that might be worth investigating.
49,7217358294814743,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,Hmm. Return when you change your mind.,COLLECTOR_NAME_KEY: Hmm. Return when you change your mind.
50,7258692242182144,Narrator / scene text,,narration,inferred,third-/second-person scene description,"You enter a brightly lit shop. It's packed with antiques, the shelves full of jewellery and other baubles. An old man peers at you over silver spectacles.","You enter a brightly lit shop. It's packed with antiques, the shelves full of jewellery and other baubles. An old man peers at you over silver spectacles."
51,7258692250570752,Trader,TRADER_NAME_KEY,character speech,explicit,explicit speaker label,"Hello? Is that...no - ah, I don't believe we've met. Forgive me, my eyes aren't what they used to be.","TRADER_NAME_KEY: Hello? Is that...no - ah, I don't believe we've met. Forgive me, my eyes aren't what they used to be."
52,7258692250570753,Trader,TRADER_NAME_KEY,character speech,explicit,explicit speaker label,I specialize in antiques and jewellery. I'll [C1]purchase any special trinkets[/C1] you happen to have.,TRADER_NAME_KEY: I specialize in antiques and jewellery. I'll [C1]purchase any special trinkets[/C1] you happen to have.
53,7258692250570754,Trader,TRADER_NAME_KEY,character speech,explicit,explicit speaker label,"Have you got anything nice with you today, perhaps?","TRADER_NAME_KEY: Have you got anything nice with you today, perhaps?"
54,7258692250570755,Trader,TRADER_NAME_KEY,character speech,explicit,explicit speaker label,Welcome! Found anything special lately?,TRADER_NAME_KEY: Welcome! Found anything special lately?
55,7275844126969859,Narrator / scene text,,narration,inferred,third-/second-person scene description,You explain that you've sold an engraved belt buckle to The Trader.,You explain that you've sold an engraved belt buckle to The Trader.
56,7275844126969860,Grieving Father,GRIEVING_FATHER_NAME_KEY,character speech,explicit,explicit speaker label,"You - oh. Well, maybe that wasn't his... I'd - I'd better go and check before he melts it down!","GRIEVING_FATHER_NAME_KEY: You - oh. Well, maybe that wasn't his... I'd - I'd better go and check before he melts it down!"
57,7275844126969861,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,The man hurries away towards the Trader.,The man hurries away towards the Trader.
58,7275844126969862,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,You give the belt buckle to the man.,You give the belt buckle to the man.
59,7275844126969863,Grieving Father,GRIEVING_FATHER_NAME_KEY,character speech,explicit,explicit speaker label,"This is...this is his! Oh, thank you, bless you. You've returned him to me...","GRIEVING_FATHER_NAME_KEY: This is...this is his! Oh, thank you, bless you. You've returned him to me..."
60,7581114120081408,Narrator / scene text,,narration,inferred,third-/second-person scene description,"You approach a woman sitting on the dockside, staring out to sea. She turns to you.","You approach a woman sitting on the dockside, staring out to sea. She turns to you."
61,7581114124275712,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,What's it like out there?,BUILDER_NAME_KEY: What's it like out there?
62,7581114124275713,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,It's peaceful.,It's peaceful.
63,7581114124275714,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,It's difficult.,It's difficult.
64,7581114124275715,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I don't want to talk about it.,I don't want to talk about it.
65,7581114124275716,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,It's got to be a damn sight better than this bloody town. I think I just need to get away for a while -- maybe not come back.,BUILDER_NAME_KEY: It's got to be a damn sight better than this bloody town. I think I just need to get away for a while -- maybe not come back.
66,7581114124275717,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,"Going backwards is a mistake, don't you think? You should always keep moving forward. Moving along.","BUILDER_NAME_KEY: Going backwards is a mistake, don't you think? You should always keep moving forward. Moving along."
67,7581114124275718,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,It's not so bad here.,It's not so bad here.
68,7581114124275719,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I don't want to move along.,I don't want to move along.
69,7581114124275720,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I can't go back.,I can't go back.
70,7581114124275721,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,"She's gazing out to sea again, lost in thought.","She's gazing out to sea again, lost in thought."
71,7581114124275722,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,"Say, if you find me some materials, maybe you can help me move? I mean, really move. There's an island I've heard about, [C0]Steel Point, just to the North[/C0].","BUILDER_NAME_KEY: Say, if you find me some materials, maybe you can help me move? I mean, really move. There's an island I've heard about, [C0]Steel Point, just to the North[/C0]."
72,7581114124275723,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,"[C0]Two units of Lumber[/C0] and [C0]Two units of Scrap[/C0] is all I need. I can make a new place for myself out there. You'd be welcome to visit, too.","BUILDER_NAME_KEY: [C0]Two units of Lumber[/C0] and [C0]Two units of Scrap[/C0] is all I need. I can make a new place for myself out there. You'd be welcome to visit, too."
73,7581114124275724,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,Just [C0]stack it up at Steel Point[/C0] when you have anything. I'll pay you when the job's done.,BUILDER_NAME_KEY: Just [C0]stack it up at Steel Point[/C0] when you have anything. I'll pay you when the job's done.
74,7581114124275728,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,This is the island where the [C0]Builder[/C0] wants materials delivered.,This is the island where the [C0]Builder[/C0] wants materials delivered.
75,7581114124275729,Narrator / scene text,,narration,inferred,third-/second-person scene description,You've delivered all the necessary materials. You should let the Builder know.,You've delivered all the necessary materials. You should let the Builder know.
76,7581114124275730,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,"You've done it? Well, no sense in wasting time. Let's get moving.","BUILDER_NAME_KEY: You've done it? Well, no sense in wasting time. Let's get moving."
77,7581114124275732,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,"Good riddance to you, [C0]Greater Marrow[/C0]. I'm onward bound.","BUILDER_NAME_KEY: Good riddance to you, [C0]Greater Marrow[/C0]. I'm onward bound."
78,7581114124275733,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,No room on deck? [C0]Come back when you have more space[/C0]. I'll be waiting.,BUILDER_NAME_KEY: No room on deck? [C0]Come back when you have more space[/C0]. I'll be waiting.
79,7581114124275734,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,"Yes...yes, this'll do. Thank you, fella.","BUILDER_NAME_KEY: Yes...yes, this'll do. Thank you, fella."
80,7581114124275735,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,Give me a short while to get things built here. You're welcome back any time.,BUILDER_NAME_KEY: Give me a short while to get things built here. You're welcome back any time.
81,7581114124275736,Builder,BUILDER_NAME_KEY,character speech,explicit,explicit speaker label,Take these. Always good to have on hand.,BUILDER_NAME_KEY: Take these. Always good to have on hand.
82,7657931858317312,Narrator / scene text,,narration,inferred,third-/second-person scene description,A hunched woman approaches you from the steps to the lighthouse. She stops some distance away and looks at you with concern and visible apprehension.,A hunched woman approaches you from the steps to the lighthouse. She stops some distance away and looks at you with concern and visible apprehension.
83,7657931879288832,Lighthouse Keeper,LIGHTHOUSE_KEEPER_NAME_KEY,character speech,explicit,explicit speaker label,Why are you here?,LIGHTHOUSE_KEEPER_NAME_KEY: Why are you here?
84,7657931879288834,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I've come to fish.,I've come to fish.
85,7657931879288835,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I've come to see the area.,I've come to see the area.
86,7657931879288836,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I've come to meet people.,I've come to meet people.
87,7657931879288837,Lighthouse Keeper,LIGHTHOUSE_KEEPER_NAME_KEY,character speech,explicit,explicit speaker label,There's nothing here for someone like you anymore. Do yourself a favor and move on.,LIGHTHOUSE_KEEPER_NAME_KEY: There's nothing here for someone like you anymore. Do yourself a favor and move on.
88,7657931879288838,Narrator / scene text,,narration,inferred,third-/second-person scene description,She turns and shuffles back along the path that leads to the light.,She turns and shuffles back along the path that leads to the light.
89,7657931879288839,Narrator / scene text,,narration,inferred,third-/second-person scene description,"You enter the Collector's house. He's standing at the back of the room, still holding the silver and crimson book. He seems impatient.","You enter the Collector's house. He's standing at the back of the room, still holding the silver and crimson book. He seems impatient."
90,7657931879288840,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,"Well? You have something, don't you? Show me.","COLLECTOR_NAME_KEY: Well? You have something, don't you? Show me."
91,7657931879288841,Narrator / scene text,,narration,inferred,third-/second-person scene description,"You hand him the key. The cold metal shimmers a [C3]strange shine[/C3] as he holds it. The shape of the key - the teeth, the head - now somehow seem changed, smaller. Has it always been this way?","You hand him the key. The cold metal shimmers a [C3]strange shine[/C3] as he holds it. The shape of the key - the teeth, the head - now somehow seem changed, smaller. Has it always been this way?"
92,7657931879288842,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,Is this all? Where is the lock?,COLLECTOR_NAME_KEY: Is this all? Where is the lock?
93,7657931879288843,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,The Collector grows agitated.,The Collector grows agitated.
94,7657931879288844,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,"It seems...the pieces we're looking for have travelled further than I anticipated. Much further, I suspect.","COLLECTOR_NAME_KEY: It seems...the pieces we're looking for have travelled further than I anticipated. Much further, I suspect."
95,7657931879288847,Collector,COLLECTOR_NAME_KEY,character speech,explicit,explicit speaker label,Now go. We have more relics to uncover.,COLLECTOR_NAME_KEY: Now go. We have more relics to uncover.
96,11998932718653440,Narrator / scene text,,narration,inferred,third-/second-person scene description,"The Mayor is walking quickly towards you. He seems to be in a good mood, with a spring in his step.","The Mayor is walking quickly towards you. He seems to be in a good mood, with a spring in his step."
97,11998932739624960,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"Fantastic news - thanks partly to your efforts, [C0]Greater Marrow[/C0] is growing! Our town is sure to be swarming with visitors any day now.","MAYOR_NAME_KEY: Fantastic news - thanks partly to your efforts, [C0]Greater Marrow[/C0] is growing! Our town is sure to be swarming with visitors any day now."
98,11998932739624961,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,"In fact, I've granted a consent for the [C1]Shipwright to expand her facilities[/C1]. The old [C0]Dry Dock is operational again[/C0]!","MAYOR_NAME_KEY: In fact, I've granted a consent for the [C1]Shipwright to expand her facilities[/C1]. The old [C0]Dry Dock is operational again[/C0]!"
99,11998932739624963,Mayor,MAYOR_NAME_KEY,character speech,explicit,explicit speaker label,Keep up the good work. We're glad you've chosen to be here with us.,MAYOR_NAME_KEY: Keep up the good work. We're glad you've chosen to be here with us.
100,14501038075744256,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"Lousy weather lately - almost makes you not want to get out of bed. But you and I, we've gotta do it, eh? We're what keeps people from going hungry.","FISHMONGER_NAME_KEY: Lousy weather lately - almost makes you not want to get out of bed. But you and I, we've gotta do it, eh? We're what keeps people from going hungry."
101,14501038100910080,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,I don't know how you do it every day. These old bones wouldn't cut it on the high seas.,FISHMONGER_NAME_KEY: I don't know how you do it every day. These old bones wouldn't cut it on the high seas.
102,14501038100910081,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,Hope the seagulls didn't get to your catch - those blasted pests.,FISHMONGER_NAME_KEY: Hope the seagulls didn't get to your catch - those blasted pests.
103,14501038100910083,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,Don't over-commit yourself - especially when that sun starts going down. Better to come back with a small catch than to not come back at all.,FISHMONGER_NAME_KEY: Don't over-commit yourself - especially when that sun starts going down. Better to come back with a small catch than to not come back at all.
104,14501038100910084,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"Keep an eye out for larger fish. They'll feed more mouths, so I can pay you more for them.","FISHMONGER_NAME_KEY: Keep an eye out for larger fish. They'll feed more mouths, so I can pay you more for them."
105,14501038100910085,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"Sorry, sorry, it's a mess in here. I've just been so busy lately, you know how it is. Exhausting.","SHIPWRIGHT_NAME_KEY: Sorry, sorry, it's a mess in here. I've just been so busy lately, you know how it is. Exhausting."
106,14501038100910086,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"I've got a good feeling about these engines. They'll take you far away...reliable, too, provided you take care of 'em.","SHIPWRIGHT_NAME_KEY: I've got a good feeling about these engines. They'll take you far away...reliable, too, provided you take care of 'em."
107,14501038100910087,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,You'll want a variety of tackle to catch all the fish out there. Make sure you're prepared for whatever you come across.,SHIPWRIGHT_NAME_KEY: You'll want a variety of tackle to catch all the fish out there. Make sure you're prepared for whatever you come across.
108,14501038100910088,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,Damage to your hull is bound to stop engines and such from functioning right. Be careful near rocks.,SHIPWRIGHT_NAME_KEY: Damage to your hull is bound to stop engines and such from functioning right. Be careful near rocks.
109,14501038100910089,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,A single unlucky hit is enough to knock out an engine...and you wouldn't want to be without a motor when the fog rolls in.,SHIPWRIGHT_NAME_KEY: A single unlucky hit is enough to knock out an engine...and you wouldn't want to be without a motor when the fog rolls in.
110,14501038100910090,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"If any of your equipment stops working, head back here for repairs.","SHIPWRIGHT_NAME_KEY: If any of your equipment stops working, head back here for repairs."
111,14501038100910091,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,"Make sure you check out the specs before you buy this stuff -- once it's installed, no refunds.","SHIPWRIGHT_NAME_KEY: Make sure you check out the specs before you buy this stuff -- once it's installed, no refunds."
112,22896635703005184,Lighthouse Keeper,LIGHTHOUSE_KEEPER_NAME_KEY,character speech,explicit,explicit speaker label,What is it?,LIGHTHOUSE_KEEPER_NAME_KEY: What is it?
113,22896635723976704,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",Do you know of any shipwrecks around here?,Do you know of any shipwrecks around here?
114,22896635723976705,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,Have you heard of any strange things happening?,Have you heard of any strange things happening?
115,22896635723976706,Unattributed,,unattributed Yarn text,unknown,no speaker tag; cannot safely infer,She eyes you suspiciously.,She eyes you suspiciously.
116,22923535622262784,Lighthouse Keeper,LIGHTHOUSE_KEEPER_NAME_KEY,character speech,explicit,explicit speaker label,...,LIGHTHOUSE_KEEPER_NAME_KEY: ...
117,22923535664205824,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",What do you know about the Old Mayor of Little Marrow?,What do you know about the Old Mayor of Little Marrow?
118,22923535664205825,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",I should go.,I should go.
