game,file,ref,speaker,text,trigger_or_notes
O1,D1_AMBIENT,300.20,MALE_PEASANT,I’ve ‘ad enough of you!,Trigger: When the male villagers and guards attack. Initiating attack line (not during).
O1,D1_AMBIENT,300.30,MALE_PEASANT,Get ‘im!,Trigger: When the male villagers and guards attack. Initiating attack line (not during).
O1,D1_AMBIENT,300.40,MALE_PEASANT,I won’t be oppressed!,Trigger: When the male villagers and guards attack. Initiating attack line (not during).
O1,D1_AMBIENT,300.50,MALE_PEASANT,You need sorting out son!,Trigger: When the male villagers and guards attack. Initiating attack line (not during).
O1,D1_AMBIENT,300.60,MALE_PEASANT,That’s enough!,Trigger: When the male villagers and guards attack. Initiating attack line (not during).
O1,D1_AMBIENT,301.10,VILLAGE_GUARD,I ain’t letting you get away with that!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,301.20,VILLAGE_GUARD,"Okay, that’s it! I’m angry now!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,301.30,VILLAGE_GUARD,You Evil blighter!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,301.40,VILLAGE_GUARD,We ain’t that down-trodden!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,301.50,VILLAGE_GUARD,We’ve got families!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,301.60,VILLAGE_GUARD_1,Unite against the oppressor!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.10,MALE_PEASANT,"That’s enough, we give up!",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.20,MALE_PEASANT,We surrender. Please stop hitting us!,Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.30,MALE_PEASANT,"Mercy, mercy! Have mercy!",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.40,MALE_PEASANT,"Spare us poor, grubby peons!",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.50,MALE_PEASANT,I’m not a fighter!,Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.60,MALE_PEASANT,"Take pity on me, Lord!",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,302.70,MALE_PEASANT,Call your creatures off!,Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.10,VILLAGE_GUARD,I don’t wanna fight no more!,Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.20,VILLAGE_GUARD,"We bow to your superiority and pointy weaponry, Sire.",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.30,VILLAGE_GUARD,"Spare me from your wrath, oh Great One.",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.40,VILLAGE_GUARD,"Spare me from your wrath, oh Great One.",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.50,VILLAGE_GUARD,"Don’t waste your weapons on me, Sire.",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.70,VILLAGE_GUARD,"Hold back, I give up!",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,303.80,VILLAGE_GUARD,"I don’t want to get blood on you, Lord.",Note: When the villagers/guards surrender during a fight. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.10,MALE_PEASANT,"You’re looking extremely Evil today, Sire.",Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.20,MALE_PEASANT,"Evil suits you, Lord.",Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.30,MALE_PEASANT,You can have my wife! You can even have my sheep!,Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.40,MALE_PEASANT,"We are not fit to be incinerated by you, Sire.",Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.50,MALE_PEASANT,"I am your humble, groveling Servant, Lord.",Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.60,MALE_PEASANT,"Sire, you honor us with your presence.",Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.70,MALE_PEASANT,Would you like us to polish your armor for you?,Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,304.80,MALE_PEASANT,"We’re much more useful alive, Sire!",Note: When the player/Minions kill an X-amount of villagers and the villagers/guards have surrendered. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.10,FEMALE_PEASANT,"You look especially big and imposing, Sire.",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.20,FEMALE_PEASANT,We live to serve you.,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.30,FEMALE_PEASANT,We are honored to bask in your Evil glow!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.40,FEMALE_PEASANT,"You are my favorite Evil tyrant, Sire.",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.50,FEMALE_PEASANT,"Do with me as you will, oh Dark Lord of all things...er...dark!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.60,FEMALE_PEASANT,"The creatures are coming! Quick, hide the beer!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,305.70,FEMALE_PEASANT,I’m but a poor wench! Spare me.,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.10,VILLAGE_GUARD,"Hush, the dark hand of tyranny approaches!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.20,VILLAGE_GUARD,"We are but pitiful smelly wretches, have pity on us.",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.30,VILLAGE_GUARD,"You may take our homes, but don't take our sheep.",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.40,VILLAGE_GUARD,"Bow, bow down! Quickly!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.50,VILLAGE_GUARD,"Would you like us to do any smiting for you, Sire?",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.60,VILLAGE_GUARD,"Can I get you a nice drop of pumpkin beer, Sire?",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,306.70,VILLAGE_GUARD,They’re comin'! Get the sheep indoors!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_MAIN,100.10,GNARL,"Ah, you made it through the Gate, Sire!",Trigger: As the camera zooms in on the area. Only triggered for tutorial quest.
O1,D1_MAIN,100.20,GNARL,"This tranquil wilderness... so rural and idyllic. Hideous is it not? Try not to inhale it, my Lord!",Trigger: As the camera focuses on the Overlord on the portal stone
O1,D1_MAIN,100.30,GNARL,You can summon your Minions from these Gates. They are ancient arcane links between your Tower and this land!,Trigger: As the camera focuses on the Minion Gate.
O1,D1_MAIN,100.40,GNARL,Currently you can only summon Browns. You must find the other lost Minion tribes before you can summon them.,Trigger: The camera focuses on the Brown Minion Gate
O1,D1_MAIN,101.10,GNARL,You can summon your Minions from these Gates. They are ancient arcane links between your Tower and this land. Currently you can only summon Browns. You must find the other lost Minion tribes before you can summon them.,Trigger: If all Minion Gates are already in place (At this point only Brown will be useable). This is a substitute for Gnarl’s last line in the opening scene.
O1,D1_MAIN,200.10,GNARL,"Perhaps we may recover some of our looted Tower Objects in this...lush, verdant abomination.",Trigger: After the opening cut-scene has finished.
O1,D1_MAIN,201.10,GNARL,Your Minions are waiting. They need only to be summoned!,Trigger: The player hasn’t summoned any Minions for X seconds.
O1,D1_MAIN,201.20,GNARL,"We don’t have all day, my Lord. Let us summon some Minions, go forth and kill something.",Trigger: The player hasn’t summoned any Minions for X more seconds.
O1,D1_MAIN,201.30,GNARL,"My Lord, it is unseemly to travel unescorted. I would advise against it. Return to the Tower Gate and call forth your loyal Minions.",Trigger: The player moves out of the summoning area without summoning any Minions.
O1,D1_MAIN,201.40,GNARL,"Do not agitate the wildlife, Sire. Someone might see. You have Minions to do that for you. Return to the Gate and summon them.",Trigger: The player moves out of the summoning area without summoning any Minions and starts killing sheep.
O1,D1_MAIN,202.10,GNARL,Brown Minions are your main fighters. They will happily die so you don’t have to!,Trigger: The player summons Brown Minions
O1,D1_MAIN,202.20,GNARL,"There are more Minions to summon, Master. They say a sign known only to the Overlord will tell you how many Minions you may call forth.",Trigger: The player only summons a few Minions and X time elapses.
O1,D1_MAIN,203.10,GNARL,"These fluffy creatures barely know they’re alive, but you can still harvest Lifeforce from them.",Trigger: The player approaches the sheep with his Minions.
O1,D1_MAIN,203.20,GNARL,Rid this place of these woolly cabbages!,Trigger: The player has killed 3 sheep.
O1,D1_MAIN,203.30,GNARL,"Good, Sire!",Trigger: The player continues to kill sheep.
O1,D1_MAIN,203.40,GNARL,All they do is chew grass until something kills them!,Trigger: The player continues to kill sheep.
O1,D1_MAIN,203.50,GNARL,"Stupid, pointless creatures!",Trigger: The player continues to kill sheep.
O1,D1_MAIN,204.10,GNARL,Your Minions will dutifully bring you anything they find. Like this Lifeforce. They do not have the wit to do anything else... nor the pockets!,Trigger: As the Minions bring back the initial Lifeforce to the player.
O1,D1_MAIN,204.15,GNARL,"This yellow Lifeforce will allow you to summon more Browns, Sire.",Trigger: As the Minions bring back the initial Lifeforce to the player.
O1,D1_MAIN,204.20,GNARL,"Remember, Lifeforce equals Minions. Return to the Gate to call more to your side.",Trigger: Minions continue to return Lifeforce
O1,D1_MAIN,204.30,GNARL,"You can absorb Lifeforce yourself, Master, by merely getting near it.",Trigger: Minions continue to return Lifeforce
O1,D1_MAIN,204.40,GNARL,"You must build up your army, Sire. Summon more Minions at the Gate.",Trigger: The player has collected 7 pieces of Lifeforce.
O1,D1_MAIN,204.50,GNARL,"You’ve cleaned out this place, Master! Return to the Gate and call forth all your Minions.",Trigger: The player has collected all of Lifeforce in the area.
O1,D1_MAIN,204.60,GNARL,"There is Lifeforce somewhere near, Master. Retrieve it!",Trigger: The player has killed all the sheep but not found all the Lifeforce.
O1,D1_MAIN,205.10,GNARL,"These urns ahead may yield something beneficial. There’s nothing Minions like more than breaking things! Well, apart from",Trigger: As the player nears the urns near the river.
O1,D1_MAIN,206.10,GNARL,"Our way is blocked. Ah, but we have strength in numbers! Use all your Minions on that pillar, and they will work together to move it.",Trigger: As the player nears the first pillar.
O1,D1_MAIN,206.20,GNARL,You’ll need more Minions to move that pillar.,Trigger: The player does not have enough Minions on the pillar.
O1,D1_MAIN,206.30,GNARL,"All yours, you putrid lumps of flesh! Make your Master proud!",Trigger: The player has 10 Minions on the pillar
O1,D1_MAIN,206.40,GNARL,Onwards!,Trigger: The pillar has been moved.
O1,D1_MAIN,300.10,BOB,Ohh!!,Trigger: Bob is spooked by a Minion.
O1,D1_MAIN,300.20,BOB,"Halflings took over my farm. Tied me up in the sun, to scare the birds! Now, those pumpkins are plotting against poor Bob.",
O1,D1_MAIN,300.30,BOB,"They want revenge for all the pies I made, and the soup, and the jelly and the, er, ice-cream!  I hear the pumpkins whispering at night.",
O1,D1_MAIN,300.40,BOB,But I won’t leave my farm to the Halflings...Oh no! They’re worse than the pumpkins! Please help get Bob’s farm back.,
O1,D1_MAIN,301.10,BOB,Oh don’t listen to those lying orange varmints!,Trigger: Player starts to trash pumpkin field.
O1,D1_MAIN,301.20,BOB,"They’re screaming! The pumpkins are screaming! They’re scared. Get ‘em, get ‘em!",Trigger: Player has trashed half the pumpkins
O1,D1_MAIN,301.30,BOB,Ohh... they’re coming to get me! Ohhhhhh!,Trigger: Minions wear pumpkin heads - Interactive
O1,D1_MAIN,302.10,BOB,Your creatures ain’t related to pumpkins are they?,Trigger: These can be timing based if the player is hanging around the area.
O1,D1_MAIN,302.20,BOB,Even the birds laugh at me. They’re in league with the pumpkins!,Trigger: These can be timing based if the player is hanging around the area.
O1,D1_MAIN,302.30,BOB,Keep those squeaky things away from me! Keep em away!,Trigger: These can be timing based if the player is hanging around the area.
O1,D1_MAIN,303.10,BOB,"My farm! …Oh, well... I’d rather have a wrecked farm than one smelling of Halfling! These aren’t your normal tea-sipping, cake-eating types either. They’re evil little blighters!","Trigger: The farm is trashed, we cut to the exterior. A Halfling comes running out and is cornered by a Minion."
O1,D1_MAIN,303.20,BROWN_MINION,Kill! Kill! Kill!,
O1,D1_MAIN,303.30,HALFLING,Yaaaaarg!,Trigger: Player presses A to strike Halfling.
O1,D1_MAIN,304.10,BOB,"Whoo hoo, that showed ‘im!",Trigger: The player crushes the nasty little Halfling
O1,D1_MAIN,304.20,BOB,"Oh, you’d better get going, sonny. Now the path behind my house leads to the village of Spree. Oh I bet there are more of them fat little demons about, so be careful.",
O1,D1_MAIN,305.10,BOB,"Me, well I think I’ll stay here. Fix my farm. Maybe grow marrows instead. Yeah, marrows don’t talk so much. Yeah, that’d be nice...",Trigger: After the Halfling killed cut-scene has finished
O1,D1_MAIN,306.10,BOB,Argh!,Trigger: The player kills Bob.
O1,D1_MAIN,307.10,BOB,I wonder what marrow jelly's like?,"Trigger: If the player tries to talk to Bob again, these lines can be looped as required."
O1,D1_MAIN,307.20,BOB,I tried growing marrows but the pumpkins keep comin’ back!,"Trigger: If the player tries to talk to Bob again, these lines can be looped as required."
O1,D1_MAIN,307.30,BOB,"I don’t know what I hate more, pumpkins or Halflings!","Trigger: If the player tries to talk to Bob again, these lines can be looped as required."
O1,D1_MAIN,400.10,GNARL,Your Minions can access areas that are too small for your Evil magnificence… oh yes.,Trigger: Player nears the first Minion Sweeping area.
O1,D1_MAIN,401.10,GNARL,"Minions will automatically equip any useful items they find...and often, oh, any useless items too! But do not fear, your weapons and armor are custom forged at the Tower. We wouldn’t dream of giving",Trigger: The Minions Equip Objects.
O1,D1_MAIN,402.10,GNARL,"The Tower Heart! The Halflings must have used it to grow pumpkins. The little fools, they have no idea of the real power it contains. Clear those pumpkins and let’s get it back to the Tower!",Trigger: The player nears the Tower Heart which is in the middle of a patch of pumpkins.
O1,D1_MAIN,402.20,GNARL,"Your Minions will carry it for you, Master. Being the Overlord means never having to lift anything heavy!",Trigger: The Player pauses for X seconds without starting to destroy the pumpkins.
O1,D1_MAIN,402.30,GNARL,Careful! Careful!,Trigger: The Minions begin to move the Tower Heart.
O1,D1_MAIN,402.40,GNARL,"Ah, the Minions have found a short-cut!",Trigger: The Minions find the short cut.
O1,D1_MAIN,402.50,GNARL,"Mouldy! Keep up with the other Minions! Giblet, I see you pretending to hold it with one claw! Hold your share, Gubbin, you useless sack of pus!",Trigger: As the Minions are moving the Heart stone to the Portal Gate.
O1,D1_MAIN,404.10,GNARL,"Testing, testing, one two? Is this thing working? It’s a bit grubby…",Trigger: The player returns to the Halfling domain after the ‘Returning the Tower Heart’ scene.
O1,D1_MAIN,404.20,GNARL,"Can you hear me, Master? Oh... there you are!",
O1,D1_MAIN,404.30,GNARL,"Now, Sire, the creatures around here are rather frisky, so they will have undoubtedly repopulated the area.",
O1,D1_MAIN,404.40,GNARL,"Call forth some Minions and head for that peasant village... Spree, revolting name!",
O1,D1_MAIN,406.10,GNARL,"This pillar will require all your Minions to move it, oh Dark Lord.",Trigger: The player nears the bigger 15-Minion pillar.
O1,D1_MAIN,407.10,GATE_GUARD_1,Halflings approaching! Get ready!,Trigger: The player nears the gates of Spree triggering a cut-scene.
O1,D1_MAIN,407.20,GATE_GUARD_2,Hang on! Those ain’t Halflings! Look at the one with the helmet!,
O1,D1_MAIN,407.30,GATE_GUARD_1,"Hmmm, could be two Halflings holding up some armor. Yeah, I bet that's it! I don’t trust those sneaky little wossnames.",
O1,D1_MAIN,407.40,GATE_GUARD_2,"Hmmm, maybe you’re right. ’Ere prove you ain’t Halflings and free our men from the camps down the road!",
O1,D1_MAIN,407.50,GATE_GUARD_1,"If you are, stay right there so I can get my aim straight!",
O1,D1_MAIN,408.10,GATE_GUARD_1,"Now that Lord Spree’s gone, we’re the last line of defense!",Trigger: After the gates of Spree intro cut-scene has finished. The two guards talk to each other.
O1,D1_MAIN,408.20,GATE_GUARD_2,We let 'em in and they’ll have us in one of those work-camps before you can say tea and cakes!,Trigger: After the gates of Spree intro cut-scene has finished. The two guards talk to each other.
O1,D1_MAIN,409.10,GATE_GUARD_1,"Go on, get out of here. Show you’re not a coward like Lord Spree.",Trigger: the player hangs around area for X seconds.
O1,D1_MAIN,409.20,GATE_GUARD_2,"Yeah, and try not to die 'orribly like he did!",
O1,D1_MAIN,409.30,GATE_GUARD_1,Yeah we ain’t letting you in ‘less you prove you’re not one of them knee-nutters!,Trigger: The player still hangs around area for X+ seconds.
O1,D1_MAIN,410.10,GATE_GUARD_1,"Okay, okay so you ain’t a Halfling! I get it! We still ain’t letting you in until you free the others.",Trigger: The player tries to hit the peasants with a fireball.
O1,D1_MAIN,410.20,GATE_GUARD_2,"Hey, I see some of them Halflings up ahead in the…um... flammable grass!",
O1,D1_MAIN,410.30,GATE_GUARD_2,What did we do to you?,Trigger: The player tries to hit the peasants with a fireball.
O1,D1_MAIN,410.40,GATE_GUARD_1,Go show that trick to the Halflings!,Trigger: The player tries to hit the peasants with a fireball.
O1,D1_MAIN,410.50,GNARL,"Master, you’ve run out of Mana. For now I can use my reserves to recharge you. I regret, I can only do this a few times! Master, please be careful with your Mana.",Trigger: The player gets fireball happy and runs out of Mana.
O1,D1_MAIN,411.10,GNARL,"There, in the field! Greedy little Halflings! Use your Fireball spell on the wheat and roast them like suckling pigs!",Trigger: The player nears the area where the Halflings are hiding in the corn field.
O1,D1_MAIN,411.20,GNARL,More Halflings. Toast them!,Trigger: As the player nears the Halfling Patrol area.
O1,D1_MAIN,412.10,GNARL,"See the clouds that rose from those dead Halflings? That’s Evil energy, it gathers in all us Evil creatures. You will learn more of it in time, Master.",Trigger: After the player has killed the first group of Halflings.
O1,D1_MAIN,413.10,FIELD_PEASANT_1,You rescued us! Our kneecaps are safe from the Halflings!,Trigger: The player nears the area where the peasants are working in a field.
O1,D1_MAIN,413.20,FIELD_PEASANT_2,"Although Spree village is still free, some of our brothers are being held in a work camp down the road!",
O1,D1_MAIN,413.30,FIELD_PEASANT_3,"After that Halfling, Melvin Underbelly came back from his adventures they called him a hero! Then things went",
O1,D1_MAIN,413.40,FIELD_PEASANT_1,"Melvin used to be small... well, small for a Halfling, anyway. But he developed a vast appetite.",
O1,D1_MAIN,413.50,FIELD_PEASANT_2,Now he’s,
O1,D1_MAIN,413.60,FIELD_PEASANT_2,His henchmen stole our food and forced us to work in the fields to grow more food for Melvin!,
O1,D1_MAIN,414.10,GNARL,"You’ve unearthed another Minion Gate, Master. It must have been drawn to your dark powers. You can summon more Brown Minions here.",Trigger: The player nears the second Brown Minion Gate.
O1,D1_MAIN,415.10,GNARL,"This is an arcane Blood Pit, Sire. You can sacrifice Minions here to regain your own Health.  Have no fear, your Minions will gladly die for you... They’re very loyal...",Trigger: The player nears the Blood Pit.
O1,D1_MAIN,416.10,GNARL,"A Mana Pit, I haven’t seen one of these in years! They allow you to sacrifice your Minions and replenish your Mana.",Trigger: The player nears the Mana Pit.
O1,D1_MAIN,417.10,GNARL,"This must be the work camp those peasants spoke of. Be careful, Lord.",Trigger: The player nears the entrance to the work camp.
O1,D1_MAIN,417.20,GNARL,They're throwing rocks! Primitives!,Trigger: When the rock lobbers start throwing rocks.
O1,D1_MAIN,417.30,GNARL,"Look sire, a wheel! Your Minions can turn these and...well, you never know what might happen...",Trigger: When the player nears the wheel.
O1,D1_MAIN,417.40,GNARL,"I hear the bleating of lesser creatures, my Lord.",Trigger: When the player nears the wheel.
O1,D1_MAIN,417.50,GNARL,"Make sure you take a full set of Minions with you. Halflings might be short, but they’re tough!",Trigger: The player has cleared all the guards.
O1,D1_MAIN,500.10,GATE_GUARD_1,"You’ve saved us! Our boys are safely home. Oh a fine job, my Lord!",The player enters Spree for the first time after liberating it. Trigger: As the gate opens.
O1,D1_MAIN,500.20,GATE_GUARD_2,"Oh, never doubted you for a second! We were just having a little fun with you earlier, no offence, eh?",
O1,D1_MAIN,500.30,GATE_GUARD_1,Have your fellas move our barrier then go and have a tankard or two at The Happy Mule. It’s on me!,
O1,D1_MAIN,501.10,GNARL,"Ah, look at them go. It’s gone right to their heads! You see Master, such beverages make Minions more aggressive and temporarily increases their strength.",Trigger: Once the pillar is moved. Accompanies a cut scene.
O1,D1_MAIN,501.20,ARCHIE,"Ah it’s nice to see folks enjoying themselves for a change. Quite a wild bunch, aren’t they?","Trigger: Directly after Gnarl has finished speaking in the Spree- Minion Opening scene. The Camera Cuts to Archie walking out of the Inn. Looking satisfied, he turns to player."
